Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care
2022-01-01,208.0,204.0,171.0,2942.0,229.0
2022-01-02,206.0,204.0,182.0,2879.0,245.0
2022-01-03,259.0,272.0,257.0,2882.0,253.0
2022-01-04,243.0,213.0,172.0,2806.0,247.0
2022-01-05,137.0,117.0,97.0,2692.0,211.0
2022-01-06,132.0,110.0,77.0,2587.0,183.0
2022-01-07,176.0,141.0,127.0,2534.0,180.0
2022-01-08,197.0,187.0,155.0,2494.0,196.0
2022-01-09,237.0,248.0,199.0,2483.0,210.0
2022-01-10,225.0,220.0,159.0,2397.0,246.0
2022-01-11,247.0,250.0,231.0,2422.0,205.0
2022-01-12,210.0,227.0,181.0,2411.0,192.0
2022-01-13,172.0,192.0,167.0,2413.0,164.0
2022-01-14,207.0,206.0,152.0,2393.0,172.0
2022-01-15,222.0,243.0,228.0,2437.0,184.0
2022-01-16,221.0,223.0,166.0,2415.0,187.0
2022-01-17,260.0,248.0,186.0,2398.0,203.0
2022-01-18,206.0,197.0,180.0,2394.0,184.0
2022-01-19,218.0,196.0,182.0,2417.0,159.0
2022-01-20,174.0,161.0,121.0,2380.0,158.0
2022-01-21,179.0,174.0,142.0,2337.0,185.0
2022-01-22,199.0,211.0,186.0,2337.0,187.0
2022-01-23,278.0,304.0,280.0,2398.0,218.0
2022-01-24,252.0,232.0,184.0,2363.0,219.0
2022-01-25,224.0,230.0,191.0,2347.0,207.0
2022-01-26,192.0,177.0,157.0,2335.0,169.0
2022-01-27,194.0,201.0,177.0,2343.0,169.0
2022-01-28,198.0,196.0,175.0,2342.0,176.0
2022-01-29,231.0,203.0,171.0,2332.0,182.0
2022-01-30,263.0,277.0,201.0,2323.0,210.0
2022-01-31,315.0,305.0,283.0,2391.0,214.0
2022-02-01,230.0,222.0,203.0,2399.0,196.0
2022-02-02,193.0,177.0,159.0,2388.0,170.0
2022-02-03,165.0,155.0,112.0,2344.0,156.0
2022-02-04,209.0,215.0,162.0,2336.0,170.0
2022-02-05,254.0,251.0,222.0,2367.0,190.0
2022-02-06,254.0,259.0,183.0,2350.0,200.0
2022-02-07,245.0,250.0,236.0,2375.0,211.0
2022-02-08,224.0,244.0,194.0,2363.0,206.0
2022-02-09,227.0,222.0,195.0,2373.0,185.0
2022-02-10,208.0,186.0,171.0,2362.0,182.0
2022-02-11,211.0,227.0,182.0,2360.0,183.0
2022-02-12,213.0,208.0,162.0,2344.0,179.0
2022-02-13,267.0,284.0,242.0,2363.0,223.0
2022-02-14,273.0,278.0,235.0,2392.0,207.0
2022-02-15,254.0,252.0,202.0,2382.0,212.0
2022-02-16,236.0,242.0,205.0,2406.0,181.0
2022-02-17,199.0,228.0,213.0,2455.0,165.0
2022-02-18,219.0,250.0,204.0,2500.0,159.0
